name,chembl_id,type,first_approval,oral,therapeutic_flag,approved
PRAZOSIN,CHEMBL2,Small molecule,1976.0,True,True,True
NICOTINE,CHEMBL3,Small molecule,1984.0,True,True,True
OFLOXACIN,CHEMBL4,Small molecule,1990.0,True,True,True
NALIDIXIC ACID,CHEMBL5,Small molecule,1964.0,True,True,True
INDOMETHACIN,CHEMBL6,Small molecule,1965.0,True,True,True
SULBACTAM,CHEMBL403,Small molecule,1986.0,False,True,True
TAZOBACTAM,CHEMBL404,Small molecule,1993.0,False,True,True
CIPROFLOXACIN,CHEMBL8,Small molecule,1987.0,True,True,True
NORFLOXACIN,CHEMBL9,Small molecule,1986.0,True,True,True
AMPHETAMINE,CHEMBL405,Small molecule,1955.0,True,True,True
ISOSORBIDE DINITRATE,CHEMBL6622,Small molecule,1986.0,True,True,True
MIANSERIN,CHEMBL6437,Small molecule,,False,True,True
IMIPRAMINE,CHEMBL11,Small molecule,1959.0,True,True,True
INDAPAMIDE,CHEMBL406,Small molecule,1983.0,True,True,True
FLUMAZENIL,CHEMBL407,Small molecule,1991.0,False,True,True
TROGLITAZONE,CHEMBL408,Small molecule,1997.0,True,True,True
BICALUTAMIDE,CHEMBL409,Small molecule,1995.0,True,True,True
DIAZEPAM,CHEMBL12,Small molecule,1963.0,True,True,True
METOPROLOL,CHEMBL13,Small molecule,1978.0,True,True,True
DIETHYLSTILBESTROL,CHEMBL411,Small molecule,1973.0,True,True,True
MECAMYLAMINE,CHEMBL267936,Small molecule,1956.0,True,True,True
CARBACHOL,CHEMBL14,Small molecule,1972.0,False,True,True
PHENYTOIN,CHEMBL16,Small molecule,1953.0,True,True,True
SIROLIMUS,CHEMBL413,Small molecule,1999.0,True,True,True
TACROLIMUS ANHYDROUS,CHEMBL269732,Small molecule,1994.0,True,True,True
CLOMIPRAMINE,CHEMBL415,Small molecule,1989.0,True,True,True
METHOXSALEN,CHEMBL416,Small molecule,1954.0,True,True,True
DICHLORPHENAMIDE,CHEMBL17,Small molecule,1958.0,True,True,True
ETHOXZOLAMIDE,CHEMBL18,Small molecule,1982.0,True,True,True
EPIRUBICIN,CHEMBL417,Small molecule,1999.0,False,True,True
METHAZOLAMIDE,CHEMBL19,Small molecule,1959.0,True,True,True
ACETAZOLAMIDE,CHEMBL20,Small molecule,1953.0,True,True,True
MAFENIDE,CHEMBL419,Small molecule,1969.0,False,True,True
SULFANILAMIDE,CHEMBL21,Small molecule,1985.0,False,True,True
GUANABENZ,CHEMBL420,Small molecule,1982.0,True,True,True
TRIMETHOPRIM,CHEMBL22,Small molecule,1973.0,True,True,True
VERAPAMIL,CHEMBL6966,Small molecule,1981.0,True,True,True
SULFASALAZINE,CHEMBL421,Small molecule,1950.0,True,True,True
COUMARIN,CHEMBL6466,Small molecule,,False,True,True
DILTIAZEM,CHEMBL23,Small molecule,1982.0,True,True,True
ATENOLOL,CHEMBL24,Small molecule,1981.0,True,True,True
ASPIRIN,CHEMBL25,Small molecule,1950.0,True,True,True
